Branch code/name,Prod_Code,mrp_code,mrp,sale_rate,vertical_value,destination_code,sale_type,acedns,ws_rate,distributor_rate,ss_rate,depot_rate,statename
,50MM B HDPE Spk Tee,,0,0,,0,0,Y,0,0,0,0,Maharashtra
,50mm Coil Nipple(G.I),,0,0,,0,0,Y,0,0,0,0,Maharashtra
,50MM Coil Nipple(S.S.),,0,0,,0,0,Y,0,0,0,0,Maharashtra
,50MM EPC SPK FOOT-BATTEN,,0,0,,0,0,Y,0,0,0,0,Maharashtra
,50MM EPC SPK LATCH,,0,0,,0,0,Y,0,0,0,0,Maharashtra
,50MM GI STEEL TUBE GROVE NIPPLE,,0,0,,0,0,Y,0,0,0,0,Maharashtra
,50mm HDPE Pipe End,,0,0,,0,0,Y,0,0,0,0,Maharashtra
,50MM HDPE Spk End Cap,,0,0,,0,0,Y,0,0,0,0,Maharashtra
,SOC 63MM N HDPE Spk Tee,,275,0,,0,0,Y,0,0,0,0,Rajasthan
,50MM HDPE Spk Hydrent,,0,0,,0,0,Y,0,0,0,0,Maharashtra
,Elbow 32mmx1 Threaded,,36.76,0,,0,0,Y,0,0,0,0,Maharashtra
,50mm Hdpe Spk Hydrent Bend,,0,0,,0,0,Y,0,0,0,0,Maharashtra
,50mm HDPE SPK Tail Pice,,0,0,,0,0,Y,0,0,0,0,Maharashtra
,50mm MDPE End Cap,,0,0,,0,0,Y,0,0,0,0,Maharashtra
,50mm N HDPE SPK MLC,,0,0,,0,0,Y,0,0,0,0,Maharashtra
,50MM N Spk Foot Batten,,250,0,,0,0,Y,0,0,0,0,Maharashtra
,50MM N SPK Latch,,0,0,,0,0,Y,0,0,0,0,Maharashtra
,50mm N Spk Rubber Ring,,0,0,,0,0,Y,0,0,0,0,Maharashtra
,50MM NB HDPE Irrig Pipe (5mtr) PT-II,,0,0,,0,0,Y,0,0,0,0,Maharashtra
,SOC 63mm N Spk Connector,,275,0,,0,0,Y,0,0,0,0,Rajasthan
,50MM NB HDPE Irrig Pipe (6mtr) PT-II,,0,0,,0,0,Y,0,0,0,0,Maharashtra
,50MM NR HDPE Spk Adopter,,0,0,,0,0,Y,0,0,0,0,Maharashtra
,Elbow 40mm  PVC,,0,0,,0,0,Y,0,0,0,0,Maharashtra
,50MM NR HDPE Spk Bend,,0,0,,0,0,Y,0,0,0,0,Maharashtra
,50MM NR HDPE Spk PCN,,0,0,,0,0,Y,0,0,0,0,Maharashtra
,50MM NR HDPE Spk Pipe 3Mtr,,0,0,,0,0,Y,0,0,0,0,Maharashtra
,50MM NR HDPE Spk Pipe 6Mtr,,0,0,,0,0,Y,0,0,0,0,Maharashtra
,50MM NR HDPE Spk Tee,,0,0,,0,0,Y,0,0,0,0,Maharashtra
,50MM Spk PCN Nipple,,0,0,,0,0,Y,0,0,0,0,Maharashtra
,63 MM NE HOOK ONLY,,0,0,,0,0,Y,0,0,0,0,Maharashtra
,SOC 63mm N Spk Foot Batten,,0,0,,0,0,Y,0,0,0,0,Rajasthan
,63MM  SPK Pcn Nipple,,0,0,,0,0,Y,0,0,0,0,Maharashtra
,63MM B HDPE Spk PCN,,0,0,,0,0,Y,0,0,0,0,Maharashtra
,63MM B HDPE Spk Tee,,0,0,,0,0,Y,0,0,0,0,Maharashtra
,ELBOW 50MM PVC,,26.61,0,,0,0,Y,0,0,0,0,Maharashtra
,63mm B MDPE Spk Bend,,0,0,,0,0,Y,0,0,0,0,Maharashtra
,63mm Coil Nipple (S.S),,0,0,,0,0,Y,0,0,0,0,Maharashtra
,63mm Coil Nipple(G.I.),,0,0,,0,0,Y,0,0,0,0,Maharashtra
,63MM HDPE  Pipe End,,0,0,,0,0,Y,0,0,0,0,Maharashtra
,63mm HDPE Moulded Bend,,0,0,,0,0,Y,0,0,0,0,Maharashtra
,63MM HDPE Pipe for Main Line(3.2kg/cm2),,69,0,,0,0,Y,0,0,0,0,Maharashtra
